Zedd Featuring Selena Gomez,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Ludacris Featuring Miguel,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Iggy Azalea Featuring Rita Ora,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']"
Three Days Grace,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']"
Ski Mask The Slump God Featuring Juice WRLD,"['miami hip hop', 'rap']"
Tory Lanez & Rich The Kid,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']"
Autopsy,"['brutal death metal', 'death metal', 'doom metal', 'grindcore', 'metal']"
The Who,"['album rock', 'art rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock']"
Roddy Ricch & Gunna,"['melodic rap', 'rap', 'trap']"
Donatachi,"['australian electropop', 'escape room', 'hyperpop', 'pink noise', 'proto-hyperpop']"
Iyaz Featuring Travie McCoy,"['dance pop', 'pop rap']"
Andrew Hill,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'free improvisation', 'free jazz', 'jazz', 'jazz funk', 'jazz piano']"
Papik,['italian lounge']
Lloyd,"['dance pop', 'hip pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']"
My Dying Bride,"['doom metal', 'gothic metal', 'metal', 'uk doom metal']"
B.o.B Featuring Trey Songz,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']"
Devin Dawson,"['contemporary country', 'country pop', 'modern country rock']"
Yuval Ron,['arab folk']
Plain White T's,"['neo mellow', 'pop punk', 'pop rock']"
Pitbull Featuring John Ryan,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
Chris Janson,"['contemporary country', 'country', 'country road', 'modern country rock']"
Levellers,"['brighton indie', 'celtic rock', 'grebo']"
Scandroid,"['cyberpunk', 'darksynth', 'synthwave']"
"DJ Khaled Featuring JAY Z, Future & B","['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Maluma,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Rae Sremmurd Featuring Gucci Mane,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Big Time Rush,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
Xiaoyong Chen,['chinese classical']
2 Chainz Featuring Kendrick Lamar,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Walker Hayes,"['contemporary country', 'country', 'country road', 'modern country rock']"
XXXTENTACION,"['emo rap', 'miami hip hop']"
Epicycle,['chicago punk']
Józef Gatysik,['focus']
"Labrinth, Sia & Diplo Present... LSD","['australian dance', 'australian pop', 'pop']"
TK Kravitz Featuring Jacqueez,['pop r&b']
Tyga,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Alicia Keys Featuring Nicki Minaj,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Project 86,"['christian alternative rock', 'christian hard rock', 'christian hardcore', 'christian metal', 'christian punk', 'christian rock']"
88 Fingers Louie,"['chicago hardcore', 'chicago punk', 'melodic hardcore', 'punk', 'skate punk']"
Rae Sremmurd & Juicy J,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Justin Moore,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
Eluvium,"['ambient', 'art pop', 'compositional ambient', 'drone', 'neo-classical', 'post-rock']"
